2.889117011599927121e-10	5.803539546072508104e-01	1.880398495681203485e+03	0.000000000000000000e+00	2.052065266602224047e-01
2.853915292735630331e-10	5.732827779571385562e-01	4.837196130243095467e+03	1.143498285201371839e-01	1.677429519872599417e-01
2.821846371174963626e-10	5.668409047574732851e-01	4.309196552642757524e+03	2.847458522033182171e-01	1.579130057237504436e-01
2.851465724325784480e-10	5.727907187196528138e-01	5.522155582275534471e+03	8.794624964300028214e-02	1.481951220965631033e-01
2.874248449590553866e-10	5.773672189621326112e-01	5.039515968387225257e+03	2.367686905850475421e-01	1.732811824428346636e-01
2.816313262649589175e-10	5.657294366511005368e-01	4.601276318978944801e+03	2.651757878593697382e-01	1.919543357693292707e-01
2.849972183823152096e-10	5.724907024400807121e-01	5.731915414467668597e+03	1.698152241478206870e+00	1.887489727595728639e-01
2.874509823238920667e-10	5.774197226266953864e-01	6.527514777988177229e+03	4.680020255983795285e-02	1.706434434800666866e-01
2.833027826594899157e-10	5.690869895803343237e-01	6.092635125891899406e+03	1.311769350584519600e-01	1.856620902237446358e-01
2.814153902092039908e-10	5.652956731745902852e-01	6.166075067139946441e+03	5.816083347133322451e-02	1.726295747828439642e-01
2.787008555809751245e-10	5.598428275470657134e-01	4.712876229699016221e+03	3.690069047944761343e-02	1.881074992908296772e-01
2.743751455531594786e-10	5.511535189761510578e-01	1.231199015040787970e+02	1.573313941348847000e-01	5.583384196963059320e-01
2.788849733225755901e-10	5.602126757014400660e-01	5.830075335939731303e+03	2.145775883379293369e-01	1.816008886117082277e-01
2.745070847608255416e-10	5.514185530354478448e-01	5.725195419843664240e+03	5.093851924918459811e-02	1.774623101390399305e-01
2.809396506095656845e-10	5.643400270138262398e-01	8.133353493317204993e+03	6.023347181322254856e-02	1.714264719114075575e-01
2.826903021084045670e-10	5.678566638146583800e-01	6.644634684292252132e+03	4.032951973638421173e-01	1.821872100430192154e-01
2.965342830264785488e-10	5.956658838671970990e-01	5.713915428867657283e+03	2.977552817957745401e-01	2.057748860943389990e-01
2.813026883797544329e-10	5.650692823702375689e-01	5.742955405635675561e+03	5.326795738563409183e-02	1.763331160431834410e-01
2.802792884994465258e-10	5.630135187397006247e-01	6.029275176579858453e+03	4.861388110889511283e-02	1.507961454016441272e-01
2.790077869139090032e-10	5.604593785975973130e-01	6.206875034499972571e+03	5.973283221373423130e-02	1.711605979521078624e-01
2.849597755415768057e-10	5.724154888000411168e-01	7.433514053188757316e+03	3.116277506977994591e-02	1.809383807501551422e-01
2.826758918915435744e-10	5.678277171631089804e-01	6.237595009923991711e+03	1.674579460336431680e-01	1.559174222416846722e-01
2.849107451362382094e-10	5.723169985363376622e-01	6.739914608068313100e+03	3.010293591765126481e-02	1.640749844555135506e-01
2.817527316724753904e-10	5.659733108454650941e-01	8.382713293829365284e+03	9.360472511621990843e-02	1.673261256471095804e-01
